,0
c2f6,other_wmghgs
c3f8,other_wmghgs
c4f10,other_wmghgs
c5f12,other_wmghgs
c6f14,other_wmghgs
c7f16,other_wmghgs
c8f18,other_wmghgs
c_c4f8,other_wmghgs
carbon_dioxide,carbon_dioxide
carbon_tetrachloride,other_wmghgs
cf4,other_wmghgs
cfc113,other_wmghgs
cfc114,other_wmghgs
cfc115,other_wmghgs
cfc11,other_wmghgs
cfc12,other_wmghgs
ch2cl2,other_wmghgs
ch3ccl3,other_wmghgs
chcl3,other_wmghgs
halon1211,other_wmghgs
halon1301,other_wmghgs
halon2402,other_wmghgs
hcfc141b,other_wmghgs
hcfc142b,other_wmghgs
hcfc22,other_wmghgs
hfc125,other_wmghgs
hfc134a,other_wmghgs
hfc143a,other_wmghgs
hfc152a,other_wmghgs
hfc227ea,other_wmghgs
hfc236fa,other_wmghgs
hfc23,other_wmghgs
hfc245fa,other_wmghgs
hfc32,other_wmghgs
hfc365mfc,other_wmghgs
hfc4310mee,other_wmghgs
methane,methane
methyl_bromide,other_wmghgs
methyl_chloride,other_wmghgs
nf3,other_wmghgs
nitrous_oxide,nitrous_oxide
sf6,other_wmghgs
so2f2,other_wmghgs
halon1202,other_wmghgs
so2,ari
nox,ari
nox_avi,ari
co,ari
nmvoc,ari
bc,ari
nh3,ari
oc,ari
methane|o3,ozone
co|o3,ozone
nox|o3,ozone
nmvoc|o3,ozone
nitrous_oxide|o3,ozone
carbon_tetrachloride|o3,ozone
cfc113|o3,ozone
cfc114|o3,ozone
cfc115|o3,ozone
cfc11|o3,ozone
cfc12|o3,ozone
ch3ccl3|o3,ozone
halon1211|o3,ozone
halon1301|o3,ozone
halon2402|o3,ozone
hcfc141b|o3,ozone
hcfc142b|o3,ozone
hcfc22|o3,ozone
methyl_bromide|o3,ozone
methyl_chloride|o3,ozone
halon1202|o3,ozone
chcl3|o3,ozone
ch2cl2|o3,ozone
methane|strat_h2o,strat_h2o
bc|bc_on_snow,bc_on_snow
nox_avi|contrails,contrails
so2|aci,aci
bc|aci,aci
oc|aci,aci
