,so2,bc,oc
CanESM5,-0.0024876158675299787,0.03259344318364599,-0.0003466531159293518
E3SM,-0.0009420909731843799,0.024823188510091576,-0.01263219076033495
GFDL-CM4,-0.002605796790329665,0.02685601702876128,-0.0020895015142728957
GFDL-ESM4,-0.0026386847261224596,0.10170074578254895,-0.030419203259089367
GISS-E2-1-G,-0.006678277857180656,0.14613221415141808,-0.04414859986833142
HadGEM3-GC31-LL,-0.0029082256187216785,0.0019573216997186282,0.004154814073503488
IPSL-CM6A-LR,-0.0007476029097975984,-0.0561261153735122,0.008852016234897842
MIROC6,-0.0017815560622700226,0.038721160606343896,-0.014240822749054305
NorESM2-LM,-0.0012570278117375877,0.003021732143335676,-0.0034022817332911015
UKESM1-0-LL,-0.002388636357167004,0.002548327260678551,6.323224441939779e-05
